x1,y1,x2,y2,len
296,415,283,419,13.601470508735444
283,419,264,428,21.02379604162864
264,428,252,439,16.278820596099706
252,439,244,452,15.264337522473747
244,452,240,467,15.524174696260024
240,467,238,483,16.1245154965971
238,483,242,502,19.4164878389476
242,502,248,513,12.529964086141668
248,513,254,522,10.816653826391969
254,522,265,531,14.212670403551895
265,531,279,539,16.1245154965971
279,539,297,543,18.439088914585774
297,543,1051,606,756.6273851771425
1051,606,1074,606,23.0
1074,606,1096,602,22.360679774997898
1096,602,1117,593,22.847319317591726
1117,593,1138,581,24.186773244895647
1138,581,1153,567,20.518284528683193
1153,567,1168,547,25.0
1168,547,1179,527,22.825424421026653
1179,527,1186,506,22.135943621178654
1186,506,1188,481,25.079872407968907
1188,481,1187,463,18.027756377319946
1187,463,1184,447,16.278820596099706
1184,447,1176,428,20.615528128088304
1176,428,1166,412,18.867962264113206
1166,412,1157,397,17.4928556845359
1157,397,1136,379,27.65863337187866
1136,379,1116,367,23.323807579381203
1116,367,1098,359,19.697715603592208
1098,359,1073,355,25.317977802344327
1073,355,1053,355,20.0
1053,355,1042,355,11.0
1042,355,296,415,748.4089791016673
