x1,y1,x2,y2,len
296,416,260,427,37.64306045
260,427,249,450,25.49509757
249,450,244,506,56.22277119
244,506,268,527,31.89043744
268,527,319,544,53.75872022
319,544,1049,607,732.7134501
1049,607,1128,598,79.51100553
1128,598,1178,527,86.83893136
1178,527,1186,480,47.67598976
1186,480,1172,422,59.66573556
1172,422,1123,370,71.44928271
1123,370,1064,355,60.87692502
1064,355,988,359,76.10519036
988,359,296,416,694.3435749
